Material	Cod Familia
1459313	469520001
1459317	469521001
1459318	469520001
1459319	469521001
1459320	469520001
1459338	469521001
1459339	469523001
1459340	469523001
1459342	469523001
1459343	469523001
1459344	469523001
1459345	469523001
1459346	469523001
1459347	469523001
1459348	469523001
1459349	469521001
1459350	469520001
1459351	469520001
1459352	469520001
1459353	469520001
1459354	469520001
1459778	469523001
1460001	469521001
1621690	469522001
1621692	469521001
1621693	469522001
1621694	469522001
1621695	469522002
1492045	469614004
1300536	469811001
1336139	469901001
1277153	469901001
1465504	469618001
